-84.152111,36.138778,AN1 BLOWING SPRINGS CAVE     ,"Len:   850', VE:  20', Pit:   0 , Nr of Pits: 0 , Topo: Lake City              , Elev:  900',Private Property    ,Normal Gear  ,Stoop            ,Hillside             , Geology: Copper Ridge Dolomite                          "
-84.067639,36.237278,AN2 HILL CAVE                ,"Len:  8419', VE: 119', Pit:   0 , Nr of Pits: 0 , Topo: Norris                 , Elev: 1040',Government Owned    ,Normal Gear  ,Stoop            ,Hillside             , Geology: Copper Ridge Dolomite                          "
-84.117639,36.015611,AN3 SPRINGHILL SLP CAVE      ,"Len:  1374', VE: 153', Pit:  15', Nr of Pits: 0 , Topo: Powell                 , Elev: 1060',Private Property    ,Normal Gear  ,Extremely Big    ,Sink                 , Geology: Copper Ridge Dolomite                          "
-84.233750,36.051722,AN4 LEWIS LAIR               ,"Len:    50', VE:   8', Pit:   0 , Nr of Pits: 0 , Topo: Clinton                , Elev:  840',Private Property    ,Normal Gear  ,Chimney/Climb    ,Bluff or Outcrop     , Geology: Maynardville Limestone                         "
-83.973333,36.204861,AN5 DEMARCUS CAVE            ,"Len:   500', VE:  30', Pit:   0 , Nr of Pits: 0 , Topo: Big Ridge Park         , Elev: 1030',Private Property    ,Handline     ,Chimney/Climb    ,Hillside             , Geology: Maynardville Limestone                         "
-83.969722,36.208778,AN6 ROBERT SMITH CAVE        ,"Len:    80', VE:  10', Pit:   0 , Nr of Pits: 0 , Topo: Big Ridge Park         , Elev:  970',Private Property    ,Normal Gear  ,Crawl            ,Hillside             , Geology: Maynardville Limestone                         "
-84.140139,36.167278,AN7 TURTLE GRAVEYARD C       ,"Len:  5436', VE: 230', Pit:  34', Nr of Pits: 1 , Topo: Lake City              , Elev: 1080',Private Property    ,Rappel/Prusik,Pit              ,Hillside             , Geology: Copper Ridge Dolomite                          "
-84.171994,36.095006,AN8 CARTERS PIT              ,"Len:  1000', VE: 150', Pit: 100', Nr of Pits: 2 , Topo: Clinton                , Elev: 1074',Private Property    ,Rappel/Prusik,Pit              ,Hillside             , Geology: Maynardville Limestone                         "
-84.136806,36.220611,AN9 PRUETT CAVE              ,"Len:   800', VE:  50', Pit:  15', Nr of Pits: 0 , Topo: Lake City              , Elev: 1070',Private Property    ,Normal Gear  ,Crawl            ,Sink                 , Geology: Copper Ridge Dolomite                          "
-84.180972,36.068944,AN10 DRIVE-IN CAVE           ,"Len:  1743', VE: 158', Pit:   0 , Nr of Pits: 0 , Topo: Clinton                , Elev:  880',Private Property    ,Normal Gear  ,Stoop            ,Hillside             , Geology: Newala Formation                               "
-84.141250,36.223111,AN11 PRUETT PIT              ,"Len:   250', VE: 130', Pit:   0 , Nr of Pits: 0 , Topo: Lake City              , Elev: 1140',Private Property    ,Handline     ,Stoop            ,Sink                 , Geology: Copper Ridge Dolomite                          "
-84.131250,36.166722,AN12 OFFUT CAVE              ,"Len:   700', VE:  70', Pit:   0 , Nr of Pits: 0 , Topo: Lake City              , Elev:  980',Private Property    ,Normal Gear  ,Stoop            ,Hillside             , Geology: Copper Ridge Dolomite                          "
-84.137917,36.228389,AN13 LUCY HAWKINS CAVE       ,"Len:   160', VE:   7', Pit:   0 , Nr of Pits: 0 , Topo: Lake City              , Elev: 1030',Private Property    ,Normal Gear  ,Large, walk-in   ,Bluff or Outcrop     , Geology: Copper Ridge Dolomite                          "
